"country_id","city_id","name","capital","population"
"1","1","Cairo","1","19372000"
"1","2","Alexandria","0","4870000"
"1","3","Giza","0","3021542"
"1","4","Port Said","0","524433"
"2","1","San Juan","0","471389"
"2","2","Buenos Aires","1","16157000"
"2","3","Córdoba","0","1329604"
"3","1","São Paulo","0","22046000"
"3","2","Rio de Janeiro","0","12272000"
"3","3","Brasília","1","3015268"
"4","1","Mexico City","1","20996000"
"4","2","Guadalajara","0","5253000"
"4","3","Monterrey","0","4295000"
"4","4","Tijuana","0","2384609"
"5","1","Shanghai","0","22120000"
"5","2","Guangzhou","0","20902000"
"5","3","Beijing","1","19433000"
